2001 BMW X5 3.0I,"174,300 mi","Portland, OR, USA","$7,800
SOLD",Cars & Bids,Auction,"Feb 22, 2021"
2003 BMW X5 3.0I,"164,700 mi","San Diego, CA, USA","$3,900
SOLD",Cars & Bids,Auction,"Feb 5, 2021"
2015 BMW X5 XDRIVE35D,"84,100 mi","McLean, VA, USA","$25,000
SOLD",Cars & Bids,Auction,"Jan 25, 2021"
2018 BMW X5 M,"27,925 mi · Automatic · LHD · Original & Highly Original","Akron, OH, USA",SOLD,Perfect Auto Collection,Fixed-price,"Jan 18, 2021"
2003 BMW X5,,"Kissimmee, FL, USA","$5,500
SOLD",Mecum,Auction,"Jan 7, 2021"
2020 BMW X5 XDRIVE40I M Sport,"1,627 mi · Automatic · LHD · Original & Highly Original","Upper Merion Township, PA, USA",SOLD,Motorcars of the Mainline,Fixed-price,"Jan 6, 2021"
2002 BMW X5 3.0I,"71,700 mi","Erie County, PA, USA","$10,999
SOLD",Cars & Bids,Auction,"Dec 28, 2020"
2013 BMW X5 M,"111,900 mi","Indio, CA, USA","$17,300
SOLD",Cars & Bids,Auction,"Dec 1, 2020"
2015 BMW X5 M,"34,953 mi · Automatic · LHD · Original & Highly Original","Akron, OH, USA",SOLD,Perfect Auto Collection,Fixed-price,"Nov 25, 2020"
2014 BMW X5 XDRIVE50I,"37,146 mi · Automatic · LHD · Original & Highly Original","Akron, OH, USA",SOLD,Perfect Auto Collection,Fixed-price,"Nov 17, 2020"
2007 BMW X5 3.0SI,"114,187 mi · Automatic · LHD · Original & Highly Original","Upper Merion Township, PA, USA",SOLD,Motorcars of the Mainline,Fixed-price,"Nov 13, 2020"
2006 BMW E53 X5 4.8IS,"39,040 mi","Irvine, CA, USA","$19,953
SOLD",PCARMARKET,Auction,"Nov 5, 2020"
2019 BMW X5 XDRIVE40I,"15,430 mi · Automatic · LHD · Original & Highly Original","Upper Merion Township, PA, USA",SOLD,Motorcars of the Mainline,Fixed-price,"Oct 31, 2020"
2013 BMW X5 XDRIVE35I,"113,700 mi","Las Vegas, NV, USA","$17,000
SOLD",Cars & Bids,Auction,"Oct 15, 2020"
2002 BMW X5,"183,400 mi · Manual","Redmond, WA, USA","$12,700
SOLD",Cars & Bids,Auction,"Aug 11, 2020"
2017 BMW X5 M,"36,020 mi · Automatic · LHD · Original & Highly Original","Akron, OH, USA",SOLD,Perfect Auto Collection,Fixed-price,"Aug 3, 2020"
2004 BMW X5,"166,600 mi · Manual","Jacksonville, FL, USA","$5,350
SOLD",Cars & Bids,Auction,"Jul 27, 2020"
2017 BMW X5 M,"23,330 mi · Automatic · LHD · Original & Highly Original","Akron, OH, USA",SOLD,Perfect Auto Collection,Fixed-price,"Jul 20, 2020"
2008 BMW X5,,"Indianapolis, IN, USA","$7,700
SOLD",Mecum,Auction,"Jul 15, 2020"
2005 BMW X5,Automatic · LHD,"Indianapolis, IN, USA","$3,850
SOLD",Mecum,Auction,"Jul 14, 2020"
2010 BMW X5 M,"78,304 mi · Automatic · LHD · Original & Highly Original","Upper Merion Township, PA, USA",SOLD,Motorcars of the Mainline,Fixed-price,"Jul 10, 2020"
2017 BMW X5 XDRIVE50I M Sport,"29,349 mi · Automatic · LHD · Original & Highly Original","Akron, OH, USA",SOLD,Perfect Auto Collection,Fixed-price,"Jun 30, 2020"
2017 BMW X5 M Dinan,"53,771 mi · Automatic · LHD · Modified","Upper Merion Township, PA, USA",SOLD,Motorcars of the Mainline,Fixed-price,"Jun 25, 2020"
2004 BMW X5 4.8IS,"39,000 mi","City of Saint Louis, MO, USA","$26,750
SOLD",Bring a Trailer,Auction,"Jun 2, 2020"
2017 BMW X5 M,"34,313 mi · Automatic · LHD · Original & Highly Original","Akron, OH, USA",SOLD,Perfect Auto Collection,Fixed-price,"May 10, 2020"
2012 BMW X5 XDRIVE35I,"93,397 mi · Automatic · LHD · Original & Highly Original","Akron, OH, USA",SOLD,Perfect Auto Collection,Fixed-price,"Apr 23, 2020"
2002 BMW X5,Automatic · LHD,"Glendale, AZ, USA","$6,325
SOLD",Mecum,Auction,"Mar 11, 2020"
2011 BMW X5,"70,668 mi","Glendale, AZ, USA","$15,400
SOLD",Mecum,Auction,"Mar 11, 2020"
2016 BMW X5 XDRIVE50I M Sport,"28,955 mi · Automatic · LHD · Original & Highly Original","Akron, OH, USA",SOLD,Perfect Auto Collection,Fixed-price,"Feb 3, 2020"
2012 BMW X5,,"Scottsdale, AZ, USA","$9,350
SOLD",Barrett-Jackson,Auction,"Jan 13, 2020"
2006 BMW X5,,"Kissimmee, FL, USA","$6,050
SOLD",Mecum,Auction,"Jan 7, 2020"
2010 BMW X5,,"Kissimmee, FL, USA","$12,100
SOLD",Mecum,Auction,"Jan 5, 2020"
2011 BMW X5 M,"68,000 mi","Rochester, MI, USA","$27,000
SOLD",Bring a Trailer,Auction,"Dec 11, 2019"
2009 BMW X5,,"Schaumburg, IL, USA","$11,000
SOLD",Mecum,Auction,"Oct 26, 2019"
2016 BMW X5,"12,532 mi · Automatic · LHD · Original & Highly Original","Murrieta, CA, USA",SOLD,West Coast Exotic Cars,Fixed-price,"Oct 15, 2019"
