1958 BMW Isetta 300,"12,000 mi","Chicago, IL, USA","$33,250
SOLD",Bring a Trailer,Auction,"May 14, 2020"
1957 BMW Isetta 300,4 mi,"Ann Arbor, MI, USA","$27,500
SOLD",Bring a Trailer,Auction,"May 7, 2020"
1958 BMW Isetta 600,"10,000 km (6,214 mi)","Charlotte, NC, USA","$30,058
SOLD",Bring a Trailer,Auction,"Apr 22, 2020"
1958 BMW Isetta 300 Project,"12,000 mi","Dallas, TX, USA","$13,250
SOLD",Bring a Trailer,Auction,"Mar 17, 2020"
1959 BMW Isetta 600,,"Fernandina Beach, FL, USA","$24,640
SOLD",Bonhams,Auction,"Mar 5, 2020"
1957 BMW Isetta 300,,"Fernandina Beach, FL, USA","$25,760
SOLD",Bonhams,Auction,"Mar 5, 2020"
1957 BMW Isetta 300,"33,000 mi","Marblehead, MA, USA","$41,000
SOLD",Bring a Trailer,Auction,"Feb 21, 2020"
1960 BMW Isetta 300,,"Scottsdale, AZ, USA","$39,600
SOLD",Barrett-Jackson,Auction,"Jan 19, 2020"
1959 BMW Isetta 300 Coupe,,"Scottsdale, AZ, USA","$29,000
SOLD",Russo and Steele,Auction,"Jan 17, 2020"
1957 Isetta 300,,"Scottsdale, AZ, USA","$33,000
SOLD",Barrett-Jackson,Auction,"Jan 16, 2020"
1959 BMW Isetta 300,"13,000 mi","San Diego County, CA, USA","$26,000
SOLD",Bring a Trailer,Auction,"Jan 16, 2020"
1956 BMW Isetta 300,,"Scottsdale, AZ, USA","$27,500
SOLD",Barrett-Jackson,Auction,"Jan 14, 2020"
1958 BMW Isetta 300,100 mi,"Lincoln, NE, USA","$45,900
SOLD",Bring a Trailer,Auction,"Jan 9, 2020"
1957 BMW Isetta 300,,"Kissimmee, FL, USA","$31,900
SOLD",Mecum,Auction,"Jan 5, 2020"
1958 BMW Isetta 300,"1,500 mi","Cumberland County, NJ, USA","$23,250
SOLD",Bring a Trailer,Auction,"Dec 5, 2019"
1962 BMW Isetta 300,,"Solihull, GBR","£16,875
SOLD",Silverstone (UK),Auction,"Nov 10, 2019"
1957 BMW Isetta,"31,000 mi","Pulaski County, GA, USA","$21,013
SOLD",Bring a Trailer,Auction,"Oct 29, 2019"
1959 BMW Isetta 600,130 mi,"Schaumburg, IL, USA","$38,500
SOLD",Mecum,Auction,"Oct 25, 2019"
1958 BMW Isetta 300,"23,000 mi","Southlake, TX, USA","$26,050
SOLD",Bring a Trailer,Auction,"Oct 22, 2019"
1957 BMW Isetta 300,"40,000 km (24,855 mi)","Lincoln, NE, USA","$33,000
SOLD",Bring a Trailer,Auction,"Oct 15, 2019"
1957 BMW Isetta 300 Hardtop,,"Corpus Christi, TX, USA","$18,700
SOLD",Worldwide Auctioneers,Auction,"Oct 4, 2019"
1957 BMW Isetta 300 Convertible,,"Corpus Christi, TX, USA","$26,400
SOLD",Worldwide Auctioneers,Auction,"Oct 4, 2019"
1959 BMW Isetta Bubble Car,,,"£12,210
SOLD",CCA Everyman Classics (UK),Auction,"Oct 4, 2019"
1958 BMW Isetta 300 Microcar,,"New Forest, GBR","£11,212
SOLD",Bonhams,Auction,"Sep 7, 2019"
1957 BMW Isetta 300,,"Monterey, CA, USA","$33,000
SOLD",Mecum,Auction,"Aug 16, 2019"
1959 BMW Isetta 300,,"Pebble Beach, CA, USA","$41,440
SOLD",Gooding & Company,Auction,"Aug 16, 2019"
1958 BMW Isetta 300,,"Harrisburg, PA, USA","$28,600
SOLD",Mecum,Auction,"Aug 2, 2019"
1958 BMW Isetta 600,"24,000 mi","Tempe, AZ, USA","$25,850
SOLD",Bring a Trailer,Auction,"Jun 24, 2019"
1958 BMW Isetta 600,,"Greenwich, CT, USA","$31,360
SOLD",Bonhams,Auction,"Jun 2, 2019"
1957 BMW Isetta 300,,"Indianapolis, IN, USA","$30,800
SOLD",Mecum,Auction,"May 14, 2019"
1957 BMW Isetta 300 Bubble Window z-Bar,,"Tupelo, MS, USA","$22,400
SOLD",Bonhams,Auction,"Apr 27, 2019"
1957 BMW Isetta 300,,"Houston, TX, USA","$34,100
SOLD",Mecum,Auction,"Apr 6, 2019"
1959 BMW Isetta 300,,"Paris, FRA","€40,528
SOLD",Artcurial (EU),Auction,"Feb 8, 2019"
1956 BMW Isetta 300 Bubble Window z-Bar,,"Parkway, CA, USA","$25,200
SOLD",Bonhams,Auction,"Jan 17, 2019"
1960 BMW Isetta 300 Convertible,,"Scottsdale, AZ, USA","$22,000
SOLD",Barrett-Jackson,Auction,"Jan 14, 2019"
1957 BMW Isetta,,"Kissimmee, FL, USA","$19,800
SOLD",Mecum,Auction,"Jan 13, 2019"
1957 BMW Isetta Project,"23,000 mi","Monterey County, CA, USA","$9,444
SOLD",Bring a Trailer,Auction,"Nov 27, 2018"
1959 BMW Isetta,,"Schaumburg, IL, USA","$37,400
SOLD",Mecum,Auction,"Oct 26, 2018"
1958 BMW 600,"2,010 km (1,249 mi)","Los Angeles, CA, USA","$27,072
SOLD",Bring a Trailer,Auction,"Sep 4, 2018"
1957 BMW Isetta 300,,"Auburn, IN, USA","$29,700
SOLD",Worldwide Auctioneers,Auction,"Sep 1, 2018"
1957 BMW Isetta,,"Monterey, CA, USA","$34,650
SOLD",Mecum,Auction,"Aug 23, 2018"
1956 BMW Isetta 300,,"Napa, CA, USA","$40,000
SOLD",Bring a Trailer,Auction,"Aug 20, 2018"
1957 BMW Isetta 300,"38,000 mi","Montreal, QC, CAN","$22,000
SOLD",Bring a Trailer,Auction,"Aug 3, 2018"
1958 BMW Isetta,"15,000 mi","Waukee, IA, USA","$23,750
SOLD",Bring a Trailer,Auction,"Jul 10, 2018"
1959 BMW Isetta,,"Denver, CO, USA","$25,300
SOLD",Mecum,Auction,"Jun 9, 2018"
1958 BMW Isetta 300,100 mi,"Concord, CA, USA","$19,750
SOLD",Bring a Trailer,Auction,"May 24, 2018"
1958 BMW Isetta,,"Indianapolis, IN, USA","$33,000
SOLD",Mecum,Auction,"May 17, 2018"
1957 BMW Isetta Convertible,,"Palm Beach County, FL, USA","$57,200
SOLD",Barrett-Jackson,Auction,"Apr 13, 2018"
1959 BMW Isetta 300 Micro Car,,"Chichester, GBR","£11,500
SOLD",Bonhams,Auction,"Mar 18, 2018"
1957 BMW Isetta 300 Cabriolet,"21,000 mi","Washington County, MD, USA","$56,250
SOLD",Bring a Trailer,Auction,"Mar 13, 2018"
1957 BMW Isetta 300,,"Greensboro, NC, USA","$31,500
SOLD",GAA,Auction,"Mar 3, 2018"
1959 BMW 600,,"Austin, TX, USA","$15,000
SOLD",Bring a Trailer,Auction,"Feb 8, 2018"
1958 BMW Isetta 600,"21,000 mi","San Jose, CA, USA","$28,500
SOLD",Bring a Trailer,Auction,"Feb 1, 2018"
1959 BMW 600,,"Scottsdale, AZ, USA","$35,200
SOLD",Barrett-Jackson,Auction,"Jan 18, 2018"
1957 BMW Isetta Convertible,,"Scottsdale, AZ, USA","$47,300
SOLD",Barrett-Jackson,Auction,"Jan 18, 2018"
1957 BMW Isetta Pickup,,"Calgary, AB, CAN","$12,400
SOLD",Bring a Trailer,Auction,"Jan 17, 2018"
1958 BMW Isetta,,"Kissimmee, FL, USA","$37,400
SOLD",Mecum,Auction,"Jan 13, 2018"
1958 BMW 300,,"Kissimmee, FL, USA","$58,300
SOLD",Mecum,Auction,"Jan 12, 2018"
1957 BMW Isetta,"20,000 mi","Kissimmee, FL, USA","$59,400
SOLD",Mecum,Auction,"Jan 11, 2018"
1957 BMW Isetta 300 Deluxe,,"Kissimmee, FL, USA","$35,200
SOLD",Mecum,Auction,"Jan 9, 2018"
1957 BMW Isetta 300,,"Kissimmee, FL, USA","$30,800
SOLD",Mecum,Auction,"Jan 9, 2018"
1959 BMW Isetta 300 Microcar,,"London, GBR","£14,375
SOLD",Bonhams,Auction,"Dec 6, 2017"
1962 BMW Isetta,,"Greensboro, NC, USA","$26,000
SOLD",GAA,Auction,"Nov 25, 2017"
1958 BMW Isetta 300 Deluxe Cabriolet,,"Las Vegas, NV, USA","$32,000
SOLD",Mecum,Auction,"Nov 17, 2017"
1961 BMW Isetta 300,,"Paris, FRA","€19,072
SOLD",Artcurial (EU),Auction,"Nov 5, 2017"
1960 BMW 600,100 mi,"Schaumburg, IL, USA","$26,000
SOLD",Mecum,Auction,"Oct 6, 2017"
1961 BMW 600 Project,"38,290 mi","Houston, TX, USA","$3,850
SOLD",Bring a Trailer,Auction,"Oct 2, 2017"
1958 BMW Isetta 300,"23,347 mi","San Francisco, CA, USA","$55,000
SOLD",Bring a Trailer,Auction,"Sep 26, 2017"
1960 BMW Isetta,TMU · Manual · LHD · Restored-Original,"City of Saratoga Springs, NY, USA","$27,500
SOLD",Saratoga Motorcar Auctions,Auction,"Sep 22, 2017"
1958 BMW Isetta 300,,"Dallas, TX, TX, USA","$27,000
SOLD",Mecum,Auction,"Sep 9, 2017"
1958 BMW Isetta 300,,"Auburn, IN, USA","$33,000
SOLD",RM Sotheby's,Auction,"Sep 3, 2017"
1957 BMW Isetta 600 'Limousine',,"Auburn, IN, USA","$31,350
SOLD",RM Sotheby's,Auction,"Sep 3, 2017"
1958 BMW Isetta,,"Monterey, CA, USA","$45,000
SOLD",Mecum,Auction,"Aug 18, 2017"
1959 BMW Isetta 300 Project,"10,000 mi","Lincoln, NE, USA","$20,500
SOLD",Bring a Trailer,Auction,"Aug 11, 2017"
1959 BMW Isetta,,"Newport Beach, CA, USA","$31,350
SOLD",Russo and Steele,Auction,"Jun 2, 2017"
1961 BMW Isetta,"48,415 mi · Manual · RHD · Project","Ascot, GBR","£7,728
SOLD",Historics (UK),Auction,"May 20, 2017"
1958 BMW Isetta,,"Indianapolis, IN, USA","$29,000
SOLD",Mecum,Auction,"May 17, 2017"
1957 BMW Isetta 300,,"Palm Beach County, FL, USA","$27,500
SOLD",Barrett-Jackson,Auction,"Apr 6, 2017"
1957 BMW Isetta,,"Fort Lauderdale, FL, USA","$28,600
SOLD",RM Sotheby's,Auction,"Apr 2, 2017"
1957 BMW Isetta,,"Pomona, CA, USA","$32,000
SOLD",Mecum,Auction,"Feb 18, 2017"
1957 BMW Isetta 300,,"Hockessin, Delaware, DE, USA","$39,757
SOLD",Bring a Trailer,Auction,"Jan 26, 2017"
1959 BMW Isetta 300,,"Scottsdale, AZ, USA","$33,000
SOLD",Barrett-Jackson,Auction,"Jan 22, 2017"
1958 BMW Isetta 300 Cabriolet,,"Scottsdale, AZ, USA","$33,000
SOLD",Barrett-Jackson,Auction,"Jan 18, 2017"
1958 BMW Isetta 300,,"Scottsdale, AZ, USA","$27,500
SOLD",Barrett-Jackson,Auction,"Jan 18, 2017"
1958 BMW Isetta 300,,"Scottsdale, AZ, USA","$30,800
SOLD",Russo and Steele,Auction,"Jan 18, 2017"
1958 BMW Isetta 300,,"Scottsdale, AZ, USA","$24,200
SOLD",Barrett-Jackson,Auction,"Jan 17, 2017"
1957 BMW Isetta 300,,"Kissimmee, FL, USA","$40,000
SOLD",Mecum,Auction,"Jan 13, 2017"
1957 BMW Isetta 300 Convertible,,"Kissimmee, FL, USA","$30,500
SOLD",Mecum,Auction,"Jan 12, 2017"
1957 BMW Isetta 300,"36,690 mi · Manual · RHD · Restored-Original","Elmbridge, GBR","£19,040
SOLD",Historics (UK),Auction,"Nov 26, 2016"
1957 BMW Isetta 300 Plus (Bubble Window),"21,154 mi · Manual · LHD","Elmbridge, GBR","£19,600
SOLD",Historics (UK),Auction,"Nov 26, 2016"
1962 BMW Isetta 300,"47,479 mi · Manual · RHD · Restored-Original","Elmbridge, GBR","£7,392
SOLD",Historics (UK),Auction,"Nov 26, 2016"
1959 BMW Isetta 600 Limousine,,"Dallas, TX, TX, USA","$42,000
SOLD",Mecum,Auction,"Nov 5, 2016"
1958 BMW Isetta 300,,"Greensboro, NC, USA","$27,500
SOLD",GAA,Auction,"Oct 28, 2016"
1958 BMW Isetta 300 Custom Coupe,,"Las Vegas, NV, USA","$21,450
SOLD",Barrett-Jackson,Auction,"Oct 14, 2016"
1957 BMW Isetta 300,,"Las Vegas, NV, USA","$35,200
SOLD",Barrett-Jackson,Auction,"Oct 14, 2016"
1960 BMW Isetta 600,,"Auburn, IN, USA","$23,100
SOLD",RM Sotheby's,Auction,"Sep 4, 2016"
1957 BMW Isetta,,"Monterey, CA, USA","$42,500
SOLD",Mecum,Auction,"Aug 18, 2016"
1958 BMW Isetta 600 Limo,,"Monterey, CA, USA","$35,200
SOLD",Russo and Steele,Auction,"Aug 18, 2016"
1957 BMW Isetta,,"Harrisburg, PA, USA","$25,000
SOLD",Mecum,Auction,"Jul 22, 2016"
1956 BMW Isetta,,"Montville, CT, USA","$32,450
SOLD",Barrett-Jackson,Auction,"Jun 25, 2016"
1957 BMW Isetta 300,,"Montville, CT, USA","$35,750
SOLD",Barrett-Jackson,Auction,"Jun 24, 2016"
1958 BMW Isetta,,"Indianapolis, IN, USA","$31,000
SOLD",Mecum,Auction,"May 18, 2016"
1958 BMW Isetta 600,"1,560 mi","Laguna Beach, CA, USA","$30,000
SOLD",Bring a Trailer,Auction,"Apr 27, 2016"
